360
10
18 2
1 199 19900
2 213 21300
3 114 11400
4 96 19200
5 104 52000
6 99 9900
7 78 39000
8 137 27400
9 66 13200
10 181 18100
11 173 86500
12 158 31600
13 65 32500
14 50 5000
15 64 12800
16 69 34500
17 233 116500
18 216 108000
19 234 23400
20 194 38800
16 4
21 193 38600
22 70 14000
23 83 16600
24 150 30000
25 41 8200
26 44 22000
27 69 13800
28 192 96000
29 171 34200
30 189 94500
31 99 49500
32 65 6500
33 66 6600
34 38 19000
35 209 104500
36 226 113000
37 56 11200
38 80 8000
39 37 7400
40 83 41500
13 7
41 225 112500
42 62 6200
43 171 85500
44 172 34400
45 218 21800
46 77 15400
47 194 97000
48 178 89000
49 126 12600
50 87 17400
51 123 61500
52 130 65000
53 190 95000
54 230 115000
55 230 46000
56 72 36000
57 97 19400
58 185 37000
59 115 57500
60 67 33500
14 6
61 182 18200
62 120 12000
63 227 22700
64 140 14000
65 169 84500
66 172 86000
67 138 69000
68 212 106000
69 126 63000
70 53 26500
71 124 62000
72 124 24800
73 218 21800
74 86 43000
75 51 25500
76 55 27500
77 198 99000
78 70 7000
79 77 7700
80 49 24500
12 8
81 171 85500
82 233 23300
83 208 41600
84 161 16100
85 228 45600
86 105 21000
87 145 14500
88 203 40600
89 225 45000
90 201 100500
91 107 53500
92 86 43000
93 127 25400
94 41 8200
95 233 116500
96 129 64500
97 114 57000
98 176 35200
99 231 23100
100 56 11200
15 5
101 120 60000
102 230 23000
103 164 16400
104 160 80000
105 157 15700
106 233 23300
107 95 47500
108 150 15000
109 201 20100
110 39 19500
111 135 67500
112 213 42600
113 33 6600
114 114 22800
115 45 9000
116 84 16800
117 156 78000
118 64 6400
119 135 13500
120 195 19500
12 8
121 187 37400
122 234 46800
123 74 7400
124 153 15300
125 195 19500
126 105 10500
127 202 40400
128 160 32000
129 178 89000
130 179 89500
131 234 117000
132 225 22500
133 166 83000
134 128 12800
135 168 84000
136 207 41400
137 39 3900
138 83 8300
139 111 22200
140 194 97000
13 7
141 75 37500
142 204 102000
143 120 24000
144 175 17500
145 69 6900
146 102 51000
147 73 14600
148 130 13000
149 235 117500
150 222 22200
151 216 108000
152 177 17700
153 166 16600
154 118 23600
155 116 23200
156 201 100500
157 83 41500
158 117 23400
159 52 10400
160 179 35800
13 7
161 198 19800
162 172 86000
163 214 42800
164 192 19200
165 75 37500
166 175 87500
167 120 24000
168 78 7800
169 97 48500
170 97 9700
171 197 39400
172 52 10400
173 105 21000
174 135 67500
175 106 53000
176 129 12900
177 155 77500
178 85 17000
179 80 40000
180 202 20200
15 5
181 98 49000
182 145 14500
183 51 25500
184 47 9400
185 180 90000
186 166 33200
187 72 14400
188 181 36200
189 114 57000
190 60 30000
191 147 14700
192 112 56000
193 215 107500
194 102 10200
195 78 39000
196 123 24600
197 202 40400
198 78 15600
199 189 18900
200 117 11700
